estado,cidade,latitude,longitude
Paraná,Quitandinha,-25.8737269,-49.4977717
Paraná,Ramilândia,-25.1190203,-54.0301175
Paraná,Rancho Alegre,-23.070922,-50.9142676
Paraná,Rancho Alegre d'Oeste,-24.3065214,-52.9551791
Paraná,Realeza,-25.7720262,-53.5338306
Paraná,Rebouças,-25.6259339,-50.6946598
Paraná,Renascença,-26.158837,-52.970349
Paraná,Reserva,-24.6545336,-50.8484432
Paraná,Reserva do Iguaçu,-25.8365103,-52.028256
Paraná,Ribeirão Claro,-23.1960492,-49.7568326
Paraná,Ribeirão do Pinhal,-23.4063092,-50.3581945
Paraná,Rio Azul,-25.726644,-50.790534
Paraná,Rio Bom,-23.7618456,-51.4127871
Paraná,Rio Bonito do Iguaçu,-25.4903906,-52.5262069
Paraná,Rio Branco do Ivaí,-24.3193396,-51.3139672
Paraná,Rio Branco do Sul,-25.1885374,-49.3119082
Paraná,Rio Negro,-26.1047668,-49.7982766
Paraná,Rolândia,-23.3119901,-51.3674145
Paraná,Roncador,-24.5960555,-52.2744834
Paraná,Rondon,-23.4171839,-52.7722221
Paraná,Rosário do Ivaí,-24.2545374,-51.2505025
Paraná,Sabáudia,-23.319019,-51.5544109
Paraná,Salgado Filho,-26.1732041,-53.3619195
Paraná,Salto do Itararé,-23.6038767,-49.626581
Paraná,Salto do Lontra,-25.7815642,-53.3085197
Paraná,Santa Amélia,-23.2661996,-50.4278622
Paraná,Santa Cecília do Pavão,-23.5176577,-50.7837199
Paraná,Santa Cruz de Monte Castelo,-22.9582028,-53.294859
Paraná,Santa Fé,-23.039993,-51.808014
Paraná,Santa Helena,-24.8591735,-54.3328813
Paraná,Santa Inês,-22.640225,-51.9031333
Paraná,Santa Isabel do Ivaí,-23.0013818,-53.1940876
Paraná,Santa Izabel do Oeste,-25.821652,-53.480146
Paraná,Santa Lúcia,-25.4079427,-53.5677252
Paraná,Santa Maria do Oeste,-24.9392355,-51.8712242
Paraná,Santa Mariana,-23.1499367,-50.5199587
Paraná,Santa Mônica,-23.1085921,-53.1103971
Paraná,Santa Tereza do Oeste,-25.0511956,-53.6161834
Paraná,Santa Terezinha de Itaipu,-25.4390809,-54.4019902
Paraná,Santana do Itararé,-23.7566225,-49.6292826
Paraná,Santo Antônio da Platina,-23.2957157,-50.0778957
Paraná,Santo Antônio do Caiuá,-22.7365132,-52.3446998
Paraná,Santo Antônio do Paraíso,-23.4949247,-50.6468656
Paraná,Santo Antônio do Sudoeste,-26.0727118,-53.725556
Paraná,Santo Inácio,-22.6973239,-51.792679
Paraná,São Carlos do Ivaí,-23.315828,-52.476143
Paraná,São Jerônimo da Serra,-23.7221275,-50.7389164
Paraná,São João,-25.8273206,-52.7256633
Paraná,São João do Caiuá,-22.8544849,-52.3371114
Paraná,São João do Ivaí,-23.9914063,-51.8232148
Paraná,São João do Triunfo,-25.682971,-50.29492
Paraná,São Jorge do Ivaí,-23.4327325,-52.2924553
Paraná,São Jorge do Patrocínio,-23.7612908,-53.8806252
Paraná,São Jorge d'Oeste,-25.7086966,-52.9189882
Paraná,São José da Boa Vista,-23.9173145,-49.650601
Paraná,São José das Palmeiras,-24.8350864,-54.0621488
Paraná,São José dos Pinhais,-25.533816,-49.2072163
Paraná,São Manoel do Paraná,-23.394137,-52.645376
Paraná,São Mateus do Sul,-25.866823,-50.382796
Paraná,São Miguel do Iguaçu,-25.349171,-54.240498
Paraná,São Pedro do Iguaçu,-24.9341766,-53.8579529
Paraná,São Pedro do Ivaí,-23.8660384,-51.8563711
Paraná,São Pedro do Paraná,-22.8240967,-53.222755
Paraná,São Sebastião da Amoreira,-23.4647501,-50.7605173
Paraná,São Tomé,-23.534946,-52.590125
Paraná,Sapopema,-23.9105099,-50.5791315
Paraná,Sarandi,-23.444117,-51.876016
Paraná,Saudade do Iguaçu,-25.6915533,-52.6184857
Paraná,Sengés,-24.1141771,-49.4644197
Paraná,Serranópolis do Iguaçu,-25.3798835,-54.0538801
Paraná,Sertaneja,-23.0367627,-50.816802
Paraná,Sertanópolis,-23.0600434,-51.0373544
Paraná,Siqueira Campos,-23.687481,-49.830416
Paraná,Sulina,-25.7001327,-52.7207833
Paraná,Tamarana,-23.7223793,-51.0936013
Paraná,Tamboara,-23.1995071,-52.5000131
Paraná,Tapejara,-23.7334411,-52.8701739
Paraná,Tapira,-23.323146,-53.0712033
Paraná,Teixeira Soares,-25.3719287,-50.4586285
Paraná,Telêmaco Borba,-24.3282939,-50.6318021
Paraná,Terra Boa,-23.768329,-52.447002
Paraná,Terra Rica,-22.7264874,-52.6202541
Paraná,Terra Roxa,-24.1670468,-54.097432
Paraná,Tibagi,-24.5151667,-50.4101487
Paraná,Tijucas do Sul,-25.9273376,-49.179265
Paraná,Toledo,-24.7222438,-53.7402476
Paraná,Tomazina,-23.7777942,-49.9546482
Paraná,Três Barras do Paraná,-25.4212699,-53.1837577
Paraná,Tunas do Paraná,-24.9739476,-49.0862467
Paraná,Tuneiras do Oeste,-23.8672329,-52.8749376
Paraná,Tupãssi,-24.5857992,-53.5129537
Paraná,Turvo,-25.043933,-51.5392172
Paraná,Ubiratã,-24.542725,-52.9899678
Paraná,Umuarama,-23.7621152,-53.3116192
Paraná,União da Vitória,-26.228596,-51.0869796
Paraná,Uniflor,-23.0853871,-52.1584403
Paraná,Uraí,-23.199997,-50.793873
