cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Iomerê,Santa Catarina,-27.0019673,-51.2405514,2025-05-11,19.2,4.4,0,0,0,0.0,18.2,2.4,8.2,89,35958.4,5.45
Iomerê,Santa Catarina,-27.0019673,-51.2405514,2025-05-12,19.9,9.5,0,0,0,0.0,18.2,8.2,15.6,54,35810.56,5.4
Ipira,Santa Catarina,-27.4053188,-51.7734648,2025-05-10,21.5,11.9,0,0,0,0.0,21.5,11.3,8.0,174,34943.83,5.35
Ipira,Santa Catarina,-27.4053188,-51.7734648,2025-05-11,20.9,7.3,0,0,0,0.0,20.4,6.2,8.4,124,35892.96,5.3
Ipira,Santa Catarina,-27.4053188,-51.7734648,2025-05-12,22.6,11.1,0,0,0,0.0,22.5,10.2,12.4,81,35219.02,5.3
Iporã do Oeste,Santa Catarina,-26.9884305,-53.5345628,2025-05-10,20.7,14.2,0,0,0,0.0,20.6,13.6,10.1,159,34382.84,5.1
Iporã do Oeste,Santa Catarina,-26.9884305,-53.5345628,2025-05-11,19.9,11.4,0,0,0,0.0,19.4,10.0,10.7,123,36199.23,5.4
Iporã do Oeste,Santa Catarina,-26.9884305,-53.5345628,2025-05-12,21.7,12.0,0,0,0,0.0,22.9,11.0,8.9,78,34922.69,5.4
Ipuaçu,Santa Catarina,-26.6349873,-52.4555915,2025-05-10,21.0,10.2,0,0,0,0.0,20.2,9.3,13.0,167,35318.71,5.55
Ipuaçu,Santa Catarina,-26.6349873,-52.4555915,2025-05-11,20.7,6.3,0,0,0,0.0,20.0,4.5,10.7,113,36283.34,5.5
Ipuaçu,Santa Catarina,-26.6349873,-52.4555915,2025-05-12,22.3,10.3,0,0,0,0.0,22.8,8.9,14.0,56,35294.62,5.45
Ipumirim,Santa Catarina,-27.0762287,-52.135736,2025-05-10,21.0,14.1,0,0,0,0.0,20.5,13.2,8.9,148,34237.83,5.45
Ipumirim,Santa Catarina,-27.0762287,-52.135736,2025-05-11,20.2,10.9,0,0,0,0.0,19.4,9.2,10.8,106,36127.36,5.4
Ipumirim,Santa Catarina,-27.0762287,-52.135736,2025-05-12,22.5,11.4,0,0,0,0.0,23.0,10.5,7.4,71,35100.37,5.35
Iraceminha,Santa Catarina,-26.8237077,-53.272834,2025-05-10,21.8,13.3,0,0,0,0.0,21.7,12.4,10.9,161,34421.86,5.1
Iraceminha,Santa Catarina,-26.8237077,-53.272834,2025-05-11,21.1,9.4,0,0,0,0.0,21.0,8.2,10.7,115,36227.35,5.4
Iraceminha,Santa Catarina,-26.8237077,-53.272834,2025-05-12,22.8,11.1,0,0,0,0.0,24.3,10.4,9.5,80,36061.81,5.4
Irani,Santa Catarina,-27.0230476,-51.9010675,2025-05-10,17.8,10.9,0,0,0,0.0,16.8,9.1,11.3,158,34862.25,5.55
Irani,Santa Catarina,-27.0230476,-51.9010675,2025-05-11,17.2,8.7,0,0,0,0.0,15.6,6.2,12.6,106,36181.07,5.5
Irani,Santa Catarina,-27.0230476,-51.9010675,2025-05-12,18.6,9.3,0,0,0,0.0,18.0,7.6,15.1,40,35278.83,5.5
Irati,Santa Catarina,-26.6577742,-52.8929851,2025-05-10,22.4,14.4,0,0,0,0.0,22.2,14.4,10.1,180,33840.72,5.45
Irati,Santa Catarina,-26.6577742,-52.8929851,2025-05-11,21.6,8.0,0,0,0,0.0,21.3,6.9,10.1,116,36255.39,5.4
Irati,Santa Catarina,-26.6577742,-52.8929851,2025-05-12,23.4,11.7,0,0,0,0.0,24.5,11.2,9.5,66,36156.2,5.4
Irineópolis,Santa Catarina,-26.242006,-50.795687,2025-05-10,22.0,9.9,88,8,0,1.4,22.2,9.0,8.0,186,34825.62,5.6
Irineópolis,Santa Catarina,-26.242006,-50.795687,2025-05-11,20.0,2.9,3,0,0,0.0,18.8,0.7,12.3,118,36044.41,5.55
Irineópolis,Santa Catarina,-26.242006,-50.795687,2025-05-12,18.5,9.9,3,0,0,0.0,18.3,9.1,13.4,94,20485.58,5.5
Itá,Santa Catarina,-27.275006,-52.3381725,2025-05-10,21.6,9.8,0,0,0,0.0,21.5,9.2,7.0,150,34429.97,5.4
Itá,Santa Catarina,-27.275006,-52.3381725,2025-05-11,20.2,7.5,0,0,0,0.0,19.4,6.5,10.6,138,36142.75,5.35
Itá,Santa Catarina,-27.275006,-52.3381725,2025-05-12,21.4,9.4,0,0,0,0.0,21.8,8.5,9.5,135,35802.05,5.3
Itaiópolis,Santa Catarina,-26.3391899,-49.9071983,2025-05-10,19.4,11.6,100,16,0,6.1,19.2,10.6,10.1,189,34963.77,5.6
Itaiópolis,Santa Catarina,-26.3391899,-49.9071983,2025-05-11,19.1,7.9,0,0,0,0.0,18.3,5.8,11.3,112,35456.87,5.55
Itaiópolis,Santa Catarina,-26.3391899,-49.9071983,2025-05-12,16.7,7.4,3,0,0,0.0,16.1,6.1,13.8,84,14906.68,3.2
Itajaí,Santa Catarina,-26.9046787,-48.6552979,2025-05-10,25.0,20.5,85,14,0,2.4,27.6,21.3,14.8,166,32594.08,4.6
Itajaí,Santa Catarina,-26.9046787,-48.6552979,2025-05-11,23.6,17.4,5,0,0,0.0,23.6,18.3,22.1,168,35475.43,5.05
Itajaí,Santa Catarina,-26.9046787,-48.6552979,2025-05-12,21.5,16.7,19,6,0,0.2,23.1,16.9,11.2,157,27400.15,4.75
Itapema,Santa Catarina,-27.09472,-48.6137778,2025-05-10,25.0,19.0,90,18,0,2.1,27.6,20.2,14.5,164,33076.7,5.15
Itapema,Santa Catarina,-27.09472,-48.6137778,2025-05-11,23.2,16.4,8,1,0,0.0,23.2,17.3,18.5,175,35426.57,5.0
Itapema,Santa Catarina,-27.09472,-48.6137778,2025-05-12,21.5,14.3,30,10,2,0.0,22.3,13.9,10.1,179,29584.5,4.25
Itapiranga,Santa Catarina,-27.1724236,-53.7118989,2025-05-10,23.0,13.8,0,0,0,0.0,23.7,13.4,8.3,162,35050.06,5.35
Itapiranga,Santa Catarina,-27.1724236,-53.7118989,2025-05-11,22.2,10.3,0,0,0,0.0,22.0,9.6,10.1,124,36171.04,5.35
Itapiranga,Santa Catarina,-27.1724236,-53.7118989,2025-05-12,23.5,11.8,0,0,0,0.0,24.8,11.3,10.6,96,35822.21,5.3
Itapoá,Santa Catarina,-26.1162431,-48.6180177,2025-05-10,24.3,20.5,95,28,0,7.5,26.5,23.3,16.2,167,21600.0,5.2
Itapoá,Santa Catarina,-26.1162431,-48.6180177,2025-05-11,23.0,19.0,28,4,0,0.0,23.9,21.1,13.0,159,29313.08,3.0
Itapoá,Santa Catarina,-26.1162431,-48.6180177,2025-05-12,19.8,17.8,38,26,20,0.4,21.7,18.5,10.7,225,14173.63,5.1
Ituporanga,Santa Catarina,-27.4096219,-49.6014812,2025-05-10,23.7,12.6,60,4,0,0.1,23.8,11.5,7.2,249,35510.13,5.35
Ituporanga,Santa Catarina,-27.4096219,-49.6014812,2025-05-11,21.5,7.1,0,0,0,0.0,21.6,5.6,7.7,76,35390.28,5.3
Ituporanga,Santa Catarina,-27.4096219,-49.6014812,2025-05-12,18.2,8.0,0,0,0,0.0,19.3,7.2,3.8,99,20825.79,3.7
Jaborá,Santa Catarina,-27.1743246,-51.7348631,2025-05-10,20.2,12.5,0,0,0,0.0,19.7,11.1,9.4,157,33903.22,5.45
Jaborá,Santa Catarina,-27.1743246,-51.7348631,2025-05-11,19.5,9.9,0,0,0,0.0,18.7,8.0,10.6,93,36171.03,5.4
Jaborá,Santa Catarina,-27.1743246,-51.7348631,2025-05-12,21.2,11.1,0,0,0,0.0,21.0,10.1,13.2,59,35291.24,5.35
Jacinto Machado,Santa Catarina,-28.999338,-49.7603204,2025-05-10,24.4,13.8,3,0,0,0.0,25.8,12.9,11.2,199,35151.08,5.05
Jacinto Machado,Santa Catarina,-28.999338,-49.7603204,2025-05-11,20.7,12.1,3,0,0,0.0,19.7,11.4,14.8,209,34954.72,4.8
Jacinto Machado,Santa Catarina,-28.999338,-49.7603204,2025-05-12,21.9,8.6,5,1,0,0.0,22.2,7.7,12.0,25,33426.45,4.75
Jaguaruna,Santa Catarina,-28.6237365,-49.0288664,2025-05-10,23.0,17.4,3,0,0,0.0,23.5,18.0,20.9,207,35244.47,5.05
Jaguaruna,Santa Catarina,-28.6237365,-49.0288664,2025-05-11,20.8,16.0,5,1,0,0.0,19.4,15.0,18.4,211,35178.7,4.9
Jaguaruna,Santa Catarina,-28.6237365,-49.0288664,2025-05-12,21.8,13.8,5,1,0,0.0,21.4,14.0,14.0,43,35139.77,4.8
Jaraguá do Sul,Santa Catarina,-26.4897432,-49.0778063,2025-05-10,25.0,18.8,88,20,0,5.2,27.5,20.1,8.4,166,32400.0,4.9
Jaraguá do Sul,Santa Catarina,-26.4897432,-49.0778063,2025-05-11,22.8,14.6,8,1,0,0.0,24.0,15.5,12.6,101,32581.78,4.75
Jaraguá do Sul,Santa Catarina,-26.4897432,-49.0778063,2025-05-12,19.6,15.1,30,12,0,0.2,21.3,16.1,5.4,240,4725.78,4.05
Jardinópolis,Santa Catarina,-26.721575,-52.8591464,2025-05-10,21.6,14.9,0,0,0,0.0,21.2,14.2,10.5,176,33266.37,5.45
Jardinópolis,Santa Catarina,-26.721575,-52.8591464,2025-05-11,20.8,9.8,0,0,0,0.0,20.4,8.9,10.5,143,36255.38,5.4
Jardinópolis,Santa Catarina,-26.721575,-52.8591464,2025-05-12,22.8,10.9,0,0,0,0.0,23.8,10.1,9.2,69,36137.49,5.4
Joaçaba,Santa Catarina,-27.1737204,-51.5065214,2025-05-10,21.3,11.2,0,0,0,0.0,21.1,10.3,9.4,190,33692.71,5.45
Joaçaba,Santa Catarina,-27.1737204,-51.5065214,2025-05-11,20.8,6.2,0,0,0,0.0,20.4,4.7,8.1,94,35883.2,5.4
Joaçaba,Santa Catarina,-27.1737204,-51.5065214,2025-05-12,22.1,12.6,0,0,0,0.0,21.5,11.5,16.3,54,35733.7,5.35
Joinville,Santa Catarina,-26.3044898,-48.8486726,2025-05-10,23.9,20.0,95,28,0,9.3,26.1,22.2,14.6,173,24632.41,5.1
Joinville,Santa Catarina,-26.3044898,-48.8486726,2025-05-11,22.7,17.2,28,4,0,0.1,23.5,19.3,13.2,165,32624.33,4.2
Joinville,Santa Catarina,-26.3044898,-48.8486726,2025-05-12,19.1,17.2,38,26,20,0.6,20.7,17.5,9.4,232,14350.46,5.15
José Boiteux,Santa Catarina,-26.962072,-49.6262509,2025-05-10,24.5,11.9,78,11,0,1.0,24.9,11.9,7.8,253,35580.0,5.25
José Boiteux,Santa Catarina,-26.962072,-49.6262509,2025-05-11,22.2,5.4,8,1,0,0.0,21.7,3.8,10.8,73,35230.67,5.25
José Boiteux,Santa Catarina,-26.962072,-49.6262509,2025-05-12,18.8,8.2,7,2,0,0.0,19.5,7.3,6.2,74,20692.35,2.85
Jupiá,Santa Catarina,-26.3985774,-52.7262856,2025-05-10,20.0,13.0,3,0,0,0.0,18.7,11.8,14.8,165,35533.51,5.2
Jupiá,Santa Catarina,-26.3985774,-52.7262856,2025-05-11,19.4,10.7,0,0,0,0.0,18.7,8.9,11.1,145,36339.01,5.55
Jupiá,Santa Catarina,-26.3985774,-52.7262856,2025-05-12,21.2,11.4,0,0,0,0.0,21.5,10.1,12.5,49,35384.18,5.55
Lacerdópolis,Santa Catarina,-27.2614296,-51.5564429,2025-05-10,21.3,11.0,0,0,0,0.0,21.3,10.5,9.3,186,34880.9,5.4
Lacerdópolis,Santa Catarina,-27.2614296,-51.5564429,2025-05-11,20.7,7.1,0,0,0,0.0,20.1,5.8,9.3,107,35845.41,5.35
Lacerdópolis,Santa Catarina,-27.2614296,-51.5564429,2025-05-12,22.1,12.6,0,0,0,0.0,21.5,11.4,16.9,63,35389.52,5.35
Lages,Santa Catarina,-27.8165664,-50.325883,2025-05-10,19.3,8.4,5,0,0,0.0,18.0,7.0,13.2,214,35134.77,5.4
Lages,Santa Catarina,-27.8165664,-50.325883,2025-05-11,18.6,3.5,0,0,0,0.0,18.2,1.4,7.5,115,35001.22,5.4
Lages,Santa Catarina,-27.8165664,-50.325883,2025-05-12,16.4,5.9,0,0,0,0.0,13.9,4.0,19.7,53,33841.63,4.25
Laguna,Santa Catarina,-28.4837443,-48.7816572,2025-05-10,23.6,16.4,3,0,0,0.0,24.2,17.3,17.1,215,33460.82,5.05
Laguna,Santa Catarina,-28.4837443,-48.7816572,2025-05-11,21.1,15.4,5,1,0,0.0,19.7,14.7,18.4,216,35254.18,4.95
Laguna,Santa Catarina,-28.4837443,-48.7816572,2025-05-12,22.1,13.8,5,1,0,0.0,22.4,13.7,13.4,36,34555.48,4.8
Lajeado Grande,Santa Catarina,-26.8583425,-52.5666619,2025-05-10,21.9,11.4,0,0,0,0.0,21.5,10.7,10.8,156,35057.55,5.45
Lajeado Grande,Santa Catarina,-26.8583425,-52.5666619,2025-05-11,21.0,7.9,0,0,0,0.0,20.3,6.6,11.8,130,36227.35,5.45
Lajeado Grande,Santa Catarina,-26.8583425,-52.5666619,2025-05-12,23.0,11.4,0,0,0,0.0,23.9,10.7,9.7,88,35811.96,5.4
Laurentino,Santa Catarina,-27.2193231,-49.7322856,2025-05-10,24.0,12.9,78,11,0,0.1,24.3,11.9,7.2,249,35510.13,5.35
Laurentino,Santa Catarina,-27.2193231,-49.7322856,2025-05-11,21.8,7.5,8,1,0,0.0,22.0,6.0,7.7,76,35390.28,5.3
Laurentino,Santa Catarina,-27.2193231,-49.7322856,2025-05-12,18.6,8.4,7,2,0,0.0,19.8,7.6,3.8,99,20825.79,3.4
Lauro Müller,Santa Catarina,-28.3942244,-49.3975402,2025-05-10,23.2,11.4,3,0,0,0.0,24.3,11.1,11.3,191,32983.93,5.1
Lauro Müller,Santa Catarina,-28.3942244,-49.3975402,2025-05-11,19.8,8.4,5,1,0,0.0,19.4,6.9,12.6,207,33637.27,5.05
Lauro Müller,Santa Catarina,-28.3942244,-49.3975402,2025-05-12,21.2,6.1,3,0,0,0.0,20.9,4.7,9.7,43,34487.99,4.65
Lebon Régis,Santa Catarina,-26.927987,-50.692109,2025-05-10,18.8,10.3,10,1,0,0.0,17.8,8.8,11.1,208,33889.05,5.55
Lebon Régis,Santa Catarina,-26.927987,-50.692109,2025-05-11,18.4,6.5,0,0,0,0.0,17.0,4.3,10.5,93,35956.3,5.55
Lebon Régis,Santa Catarina,-26.927987,-50.692109,2025-05-12,17.2,7.4,0,0,0,0.0,15.6,5.8,16.5,56,35355.64,5.45
Leoberto Leal,Santa Catarina,-27.5071209,-49.2871979,2025-05-10,22.4,12.9,60,5,0,0.2,22.7,12.8,6.6,264,35453.69,5.3
Leoberto Leal,Santa Catarina,-27.5071209,-49.2871979,2025-05-11,20.2,6.5,3,0,0,0.0,19.7,4.8,9.2,109,35344.64,5.0
Leoberto Leal,Santa Catarina,-27.5071209,-49.2871979,2025-05-12,17.7,5.6,0,0,0,0.0,17.3,3.9,10.0,114,23757.93,3.0
Lindóia do Sul,Santa Catarina,-27.0520334,-52.0831975,2025-05-10,20.5,13.6,0,0,0,0.0,20.1,12.8,8.8,145,34273.12,5.45
Lindóia do Sul,Santa Catarina,-27.0520334,-52.0831975,2025-05-11,19.5,10.4,0,0,0,0.0,18.5,8.8,11.3,110,36171.04,5.4
Lindóia do Sul,Santa Catarina,-27.0520334,-52.0831975,2025-05-12,21.5,9.9,0,0,0,0.0,22.0,9.0,6.8,87,35290.85,5.35
Lontras,Santa Catarina,-27.1679891,-49.5424602,2025-05-10,24.1,11.5,78,11,0,1.0,24.4,11.3,7.8,253,35580.0,5.25
Lontras,Santa Catarina,-27.1679891,-49.5424602,2025-05-11,21.8,5.0,8,1,0,0.0,21.2,3.3,10.8,73,35230.67,5.25
Lontras,Santa Catarina,-27.1679891,-49.5424602,2025-05-12,18.4,7.8,7,2,0,0.0,18.9,6.7,6.2,74,20692.35,2.85
Luiz Alves,Santa Catarina,-26.7118577,-48.9126756,2025-05-10,25.0,18.5,90,18,0,3.2,27.4,19.8,12.0,183,33377.3,4.45
Luiz Alves,Santa Catarina,-26.7118577,-48.9126756,2025-05-11,23.4,14.1,8,1,0,0.0,24.1,14.5,15.5,168,35466.65,5.2
Luiz Alves,Santa Catarina,-26.7118577,-48.9126756,2025-05-12,20.4,13.1,30,10,2,0.1,21.9,12.8,6.6,192,22021.51,4.1
Luzerna,Santa Catarina,-27.1294338,-51.4686169,2025-05-10,21.2,11.1,0,0,0,0.0,21.0,10.2,9.4,190,33692.71,5.45
Luzerna,Santa Catarina,-27.1294338,-51.4686169,2025-05-11,20.8,6.1,0,0,0,0.0,20.4,4.6,8.1,94,35883.2,5.4
Luzerna,Santa Catarina,-27.1294338,-51.4686169,2025-05-12,22.1,12.6,0,0,0,0.0,21.4,11.4,16.3,54,35733.7,5.35
Macieira,Santa Catarina,-26.8541639,-51.3763845,2025-05-10,19.0,10.7,8,0,0,0.0,18.4,9.9,10.0,196,33796.14,5.55
Macieira,Santa Catarina,-26.8541639,-51.3763845,2025-05-11,18.4,7.4,0,0,0,0.0,17.3,5.4,9.0,80,36022.91,5.5
Macieira,Santa Catarina,-26.8541639,-51.3763845,2025-05-12,19.3,10.1,0,0,0,0.0,18.3,8.9,16.0,48,35871.6,5.45
Mafra,Santa Catarina,-26.1150943,-49.8035982,2025-05-10,21.9,12.4,100,25,0,13.1,22.0,12.2,10.5,187,32630.62,5.6
Mafra,Santa Catarina,-26.1150943,-49.8035982,2025-05-11,21.0,9.5,8,1,0,0.0,20.3,8.9,14.1,109,35282.0,5.55
Mafra,Santa Catarina,-26.1150943,-49.8035982,2025-05-12,17.9,10.8,3,0,0,0.0,17.6,10.3,14.3,99,8761.41,3.4
Major Gercino,Santa Catarina,-27.419236,-48.94878,2025-05-10,25.2,15.6,65,7,0,0.2,27.0,16.3,7.3,217,35269.58,5.25
Major Gercino,Santa Catarina,-27.419236,-48.94878,2025-05-11,22.8,11.9,3,0,0,0.0,23.0,11.3,10.5,160,35322.43,5.1
Major Gercino,Santa Catarina,-27.419236,-48.94878,2025-05-12,20.5,9.7,8,3,0,0.0,21.2,8.2,7.6,168,23288.9,4.1
Major Vieira,Santa Catarina,-26.3654856,-50.3272634,2025-05-10,21.4,10.4,100,18,0,5.8,21.9,9.4,8.9,172,35125.2,5.55
Major Vieira,Santa Catarina,-26.3654856,-50.3272634,2025-05-11,19.5,4.4,5,1,0,0.0,18.3,2.3,10.3,138,35709.79,5.5
Major Vieira,Santa Catarina,-26.3654856,-50.3272634,2025-05-12,17.9,9.0,3,0,0,0.0,17.4,7.9,12.1,112,14932.39,3.5
Maracajá,Santa Catarina,-28.8628566,-49.449388,2025-05-10,24.1,13.3,8,1,0,0.1,25.9,13.1,12.7,189,35155.99,5.0
Maracajá,Santa Catarina,-28.8628566,-49.449388,2025-05-11,20.9,12.1,3,0,0,0.0,20.0,11.4,14.4,205,35029.42,4.95
Maracajá,Santa Catarina,-28.8628566,-49.449388,2025-05-12,22.3,9.0,3,0,0,0.0,22.2,8.4,12.1,50,33824.12,4.8
Maravilha,Santa Catarina,-26.7623898,-53.1747387,2025-05-10,21.1,12.2,0,0,0,0.0,20.7,11.5,10.9,153,34538.78,5.45
Maravilha,Santa Catarina,-26.7623898,-53.1747387,2025-05-11,20.2,9.7,0,0,0,0.0,19.8,8.4,11.6,120,36255.38,5.45
Maravilha,Santa Catarina,-26.7623898,-53.1747387,2025-05-12,22.4,11.2,0,0,0,0.0,23.2,10.4,10.2,86,36182.67,5.4
Marema,Santa Catarina,-26.802361,-52.626445,2025-05-10,22.8,11.1,0,0,0,0.0,22.7,10.8,10.6,166,35070.07,5.45
Marema,Santa Catarina,-26.802361,-52.626445,2025-05-11,22.0,7.3,0,0,0,0.0,21.6,6.1,10.9,119,36255.38,5.45
Marema,Santa Catarina,-26.802361,-52.626445,2025-05-12,23.9,11.6,0,0,0,0.0,24.9,10.8,10.8,74,35828.79,5.4
Massaranduba,Santa Catarina,-26.610868,-49.005351,2025-05-10,25.4,18.5,88,20,0,5.1,28.4,20.7,10.3,176,32400.0,4.35
Massaranduba,Santa Catarina,-26.610868,-49.005351,2025-05-11,23.6,14.4,8,1,0,0.0,25.1,15.3,13.2,172,35450.55,4.55
Massaranduba,Santa Catarina,-26.610868,-49.005351,2025-05-12,20.5,14.7,30,12,0,0.0,22.6,15.3,5.8,238,12470.67,4.2
Matos Costa,Santa Catarina,-26.4739837,-51.1509787,2025-05-10,18.5,8.0,15,1,0,0.1,17.6,6.1,13.0,179,34534.68,5.65
Matos Costa,Santa Catarina,-26.4739837,-51.1509787,2025-05-11,17.8,4.0,0,0,0,0.0,16.4,1.3,15.5,111,36254.0,5.6
Matos Costa,Santa Catarina,-26.4739837,-51.1509787,2025-05-12,16.1,9.0,0,0,0,0.0,14.2,7.2,18.6,56,30129.11,5.5
Meleiro,Santa Catarina,-28.8303183,-49.6349851,2025-05-10,23.9,13.2,3,0,0,0.1,25.7,12.9,12.7,189,35124.9,5.0
Meleiro,Santa Catarina,-28.8303183,-49.6349851,2025-05-11,20.8,11.9,3,0,0,0.0,19.8,11.2,14.4,205,34999.42,4.95
Meleiro,Santa Catarina,-28.8303183,-49.6349851,2025-05-12,22.1,8.9,3,0,0,0.0,22.0,8.2,12.1,50,33762.04,4.75
Mirim Doce,Santa Catarina,-27.2003527,-50.0697185,2025-05-10,24.1,11.0,60,4,0,0.0,24.5,10.0,7.1,246,35626.59,5.35
Mirim Doce,Santa Catarina,-27.2003527,-50.0697185,2025-05-11,21.2,6.6,0,0,0,0.1,21.2,5.2,7.0,47,35415.63,5.3
Mirim Doce,Santa Catarina,-27.2003527,-50.0697185,2025-05-12,17.4,9.7,0,0,0,0.0,18.0,9.0,3.9,203,20573.0,3.15
Modelo,Santa Catarina,-26.7752383,-53.0525513,2025-05-10,22.0,15.4,0,0,0,0.0,21.8,14.6,10.8,174,33404.58,5.45
Modelo,Santa Catarina,-26.7752383,-53.0525513,2025-05-11,21.0,10.8,0,0,0,0.0,20.7,10.0,10.8,143,36255.38,5.45
Modelo,Santa Catarina,-26.7752383,-53.0525513,2025-05-12,23.0,11.5,0,0,0,0.0,24.1,10.8,9.5,73,36182.67,5.4
Mondaí,Santa Catarina,-27.1020777,-53.399242,2025-05-10,23.1,13.2,0,0,0,0.0,23.7,13.3,9.2,167,34834.08,5.1
Mondaí,Santa Catarina,-27.1020777,-53.399242,2025-05-11,22.3,9.2,0,0,0,0.0,22.5,8.8,10.5,138,36171.04,5.35
Mondaí,Santa Catarina,-27.1020777,-53.399242,2025-05-12,23.6,10.9,0,0,0,0.0,24.6,10.6,11.2,102,35523.54,5.3
Monte Carlo,Santa Catarina,-27.2216645,-50.9784032,2025-05-10,18.4,10.4,8,0,0,0.0,17.6,8.7,10.8,202,34398.63,5.5
Monte Carlo,Santa Catarina,-27.2216645,-50.9784032,2025-05-11,17.8,8.3,0,0,0,0.0,16.6,6.2,11.5,117,35764.92,5.45
Monte Carlo,Santa Catarina,-27.2216645,-50.9784032,2025-05-12,18.0,8.3,0,0,0,0.0,16.4,6.8,15.1,59,34956.8,5.4
Monte Castelo,Santa Catarina,-26.460989,-50.232724,2025-05-10,21.2,9.7,85,9,0,4.1,21.2,8.4,8.0,191,35478.77,5.55
Monte Castelo,Santa Catarina,-26.460989,-50.232724,2025-05-11,18.7,4.0,3,0,0,0.0,17.4,1.7,10.5,150,35719.04,5.5
Monte Castelo,Santa Catarina,-26.460989,-50.232724,2025-05-12,16.2,8.4,0,0,0,0.0,15.7,7.3,9.4,130,19680.21,3.5
Morro da Fumaça,Santa Catarina,-28.6522275,-49.2133979,2025-05-10,23.7,12.9,8,1,0,0.0,25.7,13.0,14.2,207,33530.62,5.05
Morro da Fumaça,Santa Catarina,-28.6522275,-49.2133979,2025-05-11,20.4,10.5,3,0,0,0.0,19.5,9.2,14.2,218,35118.7,5.0
Morro da Fumaça,Santa Catarina,-28.6522275,-49.2133979,2025-05-12,22.4,8.5,3,0,0,0.0,22.1,7.4,11.6,44,32944.02,4.8
Morro Grande,Santa Catarina,-28.80057,-49.721362,2025-05-10,24.6,13.0,3,0,0,0.2,25.9,11.4,9.1,210,35165.62,5.05
Morro Grande,Santa Catarina,-28.80057,-49.721362,2025-05-11,20.2,12.3,3,0,0,0.0,20.3,11.4,10.2,241,34652.63,5.0
Morro Grande,Santa Catarina,-28.80057,-49.721362,2025-05-12,21.0,8.6,3,0,0,0.0,21.8,6.9,7.4,268,33283.42,4.7
Navegantes,Santa Catarina,-26.8898813,-48.6495828,2025-05-10,24.9,20.4,85,14,0,2.4,27.6,21.2,14.8,166,32594.08,4.6
Navegantes,Santa Catarina,-26.8898813,-48.6495828,2025-05-11,23.5,17.4,5,0,0,0.0,23.6,18.3,22.1,168,35475.43,5.05
Navegantes,Santa Catarina,-26.8898813,-48.6495828,2025-05-12,21.4,16.7,19,6,0,0.2,23.1,16.8,11.2,157,27400.15,4.75
Nova Erechim,Santa Catarina,-26.9027688,-52.9071258,2025-05-10,22.0,13.3,0,0,0,0.0,21.9,12.9,9.4,189,33571.32,5.45
Nova Erechim,Santa Catarina,-26.9027688,-52.9071258,2025-05-11,21.1,7.3,0,0,0,0.0,20.5,6.2,10.2,124,36227.35,5.4
Nova Erechim,Santa Catarina,-26.9027688,-52.9071258,2025-05-12,22.8,10.2,0,0,0,0.0,23.5,9.4,9.7,66,36154.23,5.35
Nova Itaberaba,Santa Catarina,-26.9406956,-52.8132923,2025-05-10,22.5,12.1,0,0,0,0.0,22.6,11.7,9.7,185,34202.82,5.45
Nova Itaberaba,Santa Catarina,-26.9406956,-52.8132923,2025-05-11,21.6,8.3,0,0,0,0.0,21.0,7.5,10.4,133,36199.23,5.4
Nova Itaberaba,Santa Catarina,-26.9406956,-52.8132923,2025-05-12,23.4,11.3,0,0,0,0.0,24.2,10.6,10.4,76,35984.69,5.35
Nova Trento,Santa Catarina,-27.2862616,-48.9302652,2025-05-10,26.1,16.8,85,14,0,1.1,28.3,18.2,10.6,216,34803.92,5.2
Nova Trento,Santa Catarina,-27.2862616,-48.9302652,2025-05-11,23.9,13.2,5,0,0,0.0,24.6,13.4,12.5,158,35380.67,5.1
Nova Trento,Santa Catarina,-27.2862616,-48.9302652,2025-05-12,21.1,10.6,19,6,0,0.0,21.9,9.9,8.4,173,25658.66,3.5
Nova Veneza,Santa Catarina,-28.637371,-49.4997634,2025-05-10,23.8,13.2,8,1,0,0.2,25.2,12.3,12.4,165,35113.41,5.05
Nova Veneza,Santa Catarina,-28.637371,-49.4997634,2025-05-11,20.2,12.0,3,0,0,0.0,19.8,11.0,11.9,231,35058.7,5.0
Nova Veneza,Santa Catarina,-28.637371,-49.4997634,2025-05-12,22.0,9.1,3,0,0,0.0,22.1,7.7,9.4,25,32849.13,4.85
Novo Horizonte,Santa Catarina,-26.4465656,-52.8319931,2025-05-10,20.5,13.7,3,0,0,0.0,19.7,12.9,11.9,167,35416.46,5.2
Novo Horizonte,Santa Catarina,-26.4465656,-52.8319931,2025-05-11,19.6,9.4,0,0,0,0.0,19.1,8.2,10.5,139,36311.21,5.55
Novo Horizonte,Santa Catarina,-26.4465656,-52.8319931,2025-05-12,21.8,10.9,0,0,0,0.0,22.6,9.8,9.2,57,35223.88,5.55
Orleans,Santa Catarina,-28.3572698,-49.2872434,2025-05-10,23.6,11.9,3,0,0,0.0,24.9,11.7,11.3,191,32983.93,5.1
Orleans,Santa Catarina,-28.3572698,-49.2872434,2025-05-11,20.3,8.8,5,1,0,0.0,20.0,7.5,12.6,207,33637.27,5.0
