cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Bocaiúva do Sul,Paraná,-25.206591,-49.114131,2025-05-12,15.2,12.2,3,0,0,0.0,14.9,11.4,13.0,106,0.0,5.65
Bom Jesus do Sul,Paraná,-26.192388,-53.6000736,2025-05-10,21.8,13.8,0,0,0,0.0,21.3,13.2,13.8,163,36124.3,5.6
Bom Jesus do Sul,Paraná,-26.192388,-53.6000736,2025-05-11,21.7,10.4,0,0,0,0.0,21.2,9.1,11.3,151,36394.36,5.55
Bom Jesus do Sul,Paraná,-26.192388,-53.6000736,2025-05-12,22.7,11.1,0,0,0,0.0,23.7,10.3,11.7,102,36162.38,5.55
Bom Sucesso,Paraná,-23.7101968,-51.7661597,2025-05-10,23.4,18.5,95,52,0,21.1,27.3,20.5,9.3,129,23960.47,4.85
Bom Sucesso,Paraná,-23.7101968,-51.7661597,2025-05-11,24.6,15.0,3,1,0,0.0,25.4,15.8,11.8,105,36522.23,5.7
Bom Sucesso,Paraná,-23.7101968,-51.7661597,2025-05-12,23.4,14.0,8,3,0,0.0,23.8,14.1,14.1,97,33842.94,5.35
Bom Sucesso do Sul,Paraná,-26.0749256,-52.8348629,2025-05-10,22.7,13.6,8,1,0,0.0,21.9,12.8,15.5,161,36465.98,5.65
Bom Sucesso do Sul,Paraná,-26.0749256,-52.8348629,2025-05-11,22.3,9.4,0,0,0,0.0,22.0,8.0,11.2,151,36394.36,5.6
Bom Sucesso do Sul,Paraná,-26.0749256,-52.8348629,2025-05-12,23.0,10.6,0,0,0,0.0,24.0,9.7,12.2,109,36104.99,5.55
Borrazópolis,Paraná,-23.9399295,-51.5842203,2025-05-10,21.7,18.2,98,51,0,24.4,24.9,18.6,13.3,116,16061.36,5.2
Borrazópolis,Paraná,-23.9399295,-51.5842203,2025-05-11,23.4,16.3,0,0,0,0.0,24.3,16.0,17.0,113,36304.04,5.7
Borrazópolis,Paraná,-23.9399295,-51.5842203,2025-05-12,22.6,14.2,3,2,0,0.0,22.4,13.1,16.3,99,33635.14,5.6
Braganey,Paraná,-24.8179919,-53.118506,2025-05-10,23.4,16.2,70,6,0,1.3,23.7,14.9,15.9,181,36734.26,5.65
Braganey,Paraná,-24.8179919,-53.118506,2025-05-11,22.4,11.7,3,0,0,0.0,23.0,10.4,11.9,150,36666.58,5.65
Braganey,Paraná,-24.8179919,-53.118506,2025-05-12,22.9,12.8,0,0,0,0.0,23.7,12.4,12.2,88,35586.53,5.55
Brasilândia do Sul,Paraná,-24.1975793,-53.527551,2025-05-10,25.6,17.1,90,9,0,2.6,27.3,17.6,11.3,200,34800.03,5.7
Brasilândia do Sul,Paraná,-24.1975793,-53.527551,2025-05-11,24.3,14.8,0,0,0,0.0,25.6,14.0,12.5,134,36799.95,5.7
Brasilândia do Sul,Paraná,-24.1975793,-53.527551,2025-05-12,25.2,15.3,5,0,0,0.0,26.5,15.5,12.5,94,35300.09,5.65
Cafeara,Paraná,-22.78905,-51.714195,2025-05-10,24.6,19.4,83,47,3,7.4,28.0,22.1,9.0,263,11483.22,5.15
Cafeara,Paraná,-22.78905,-51.714195,2025-05-11,24.1,17.1,5,2,0,0.0,24.2,15.7,19.8,111,35779.01,5.7
Cafeara,Paraná,-22.78905,-51.714195,2025-05-12,24.9,16.3,6,2,0,0.0,24.7,14.7,21.9,104,35110.54,5.8
